# Ky E
3 -23.421502825706
3 -23.41965822563
3 -23.41774660347
3 -23.415767965039
3 -22.942463595509
3 -22.480623484898
3 -21.727102949061
3 -20.70343945093
3 -19.43652452526
3 -17.957822667643
3 -16.301670418097
3 -14.49780575269
3 -12.558967579191
3 -12.073709871617
3 -10.484024336522
3 -8.2887093697291
3 -7.3549082263995
3 -5.9452223194922
3 -5.2974962101532
3 -3.6480298601067
3 -3.4933179284361
3 -1.1827411086847
3 -1.1669813204397
3 -1.0814518501176
3 -0.87966824760158
3 1.431420095906
3 1.6351239026638
3 3.5278617117502
3 3.9207417614908
3 5.6156746410795
3 6.239728493027
3 8.4334031584018
3 9.4537884566861
3 10.451869587277
3 -23.055156028095
3 -22.596532044446
3 -21.84839277141
3 -20.832670968485
3 -19.57712444415
3 -18.114183402643
3 -16.4777699587
3 -14.695198636318
3 -12.779120170935
3 -10.735757978589
3 -8.5915543479522
3 -6.4243344758639
3 -4.506121270379
3 -3.9502103360012
3 -3.2415691073932
3 -2.637669008183
3 -2.4368438254065
3 -1.9396559404153
3 -1.0785618503694
3 -1.0202986733137
3 -0.073531754229736
3 0.37846523207162
3 0.52225711027374
3 1.2358836279459
3 1.9455652994615
3 2.4541726441968
3 4.3092116538471
3 6.4670167248723
3 8.6041566534958
3 10.00010911492
3 -22.173346704714
3 -21.383678654233
3 -20.118308494157
3 -18.443295550268
3 -16.451180900948
3 -14.276836940065
3 -12.039964377403
3 -9.6431455832064
3 -6.9701033150489
3 -6.8238951292086
3 -4.0320459193506
3 -3.8682947202953
3 -3.0923857036311
3 -1.4420526549034
3 -1.2369501557789
3 -1.2209415903889
3 -1.1084684507855
3 -1.0333152060338
3 -0.93353500480313
3 -0.90155397493786
3 -0.70991322407166
3 -0.50354314644638
3 -0.22555121962702
3 1.5081458989445
3 2.3442516975677
3 2.3891527052086
3 5.2576683170991
3 5.38240291858
3 7.9880241665931
3 9.9999999749827
3 -21.382315759311
3 -20.411846507215
3 -18.881549426812
3 -16.902222293436
3 -14.587454026462
3 -12.004985045178
3 -9.2085997049886
3 -8.3961519191913
3 -6.6639092800706
3 -5.6051973978973
3 -2.8597251390838
3 -2.4174784625817
3 -1.4931794316261
3 -1.2332036228611
3 -1.1690862554384
3 -1.0523681120971
3 -1.0193076273754
3 -0.93501198023685
3 -0.857320141677
3 -0.76141552996216
3 -0.54304499028454
3 -0.41511060496713
3 0.12248858408171
3 0.98104100199386
3 1.6752819587037
3 4.3287511767696
3 5.3962717498428
3 7.1683167598708
3 8.0295794678124
3 9.9999999964511
3 -22.51441223541
3 -21.525753818444
3 -19.970420601943
3 -17.928455459355
3 -15.472806849967
3 -12.731220606172
3 -10.184017877764
3 -9.3871519418923
3 -8.4203988451809
3 -5.7898042018093
3 -3.5017165053467
3 -3.1978803028521
3 -2.6364021453025
3 -1.3469572953803
3 -1.1779008064944
3 -1.1474227073182
